title,location,company,salary
Data Scientist,Tacoma,City of Tacoma,120692.0
Data Scientist,Redmond,Coso IT,115000.0
Data Scientist,Redmond,Facebook,114000.0
"Data Scientist, Analytics",Seattle,Facebook,148000.0
Data Scientist / Data Engineer,Bellevue,Thunder,128500.0
Data Scientist,Seattle,TenPoint7,130500.0
Customer Solutions Data Scientist,Seattle,Tableau,142000.0
Security Data Scientist,Redmond,Microsoft,141000.0
Workplace Analytics Data Scientist,Redmond,Microsoft,113500.0
Systems and Data Analyst,Renton,BOEING,85500.0
Healthcare Payer Data Scientist Consultant,Seattle,Accenture,145000.0
"Data Scientist Technical Lead, Google Maps",Seattle,Google,118000.0
Research Intern - Information and Data Sciences,Redmond,Microsoft,99000.0
Software Engineer - Entry Level,Everett,BOEING,92500.0
Business Analyst 2 - Consumer Research and Insights,Seattle,Nordstrom,81000.0
"Director, Data Scientist, Natural Language Processing",Seattle,KPMG,105500.0
"Manager, Data Scientist, Machine Learning",Seattle,KPMG,118000.0
Data & Applied Scientist Manager,Redmond,Microsoft,113000.0
"Data Science Instructor, Senior Data Scientist",Seattle,Galvanize,165500.0
SQL Server Operational DBA,Seattle,CDK Global,115000.0
Data Science Manager,Seattle,Rover,126000.0
Software Developer - Big Data / Application Development Tool...,Bellevue,Oracle,129500.0
Junior Full-Stack Software Developer - Agile Team,Bellevue,BOEING,115500.0
Engineer,Tacoma,City of Tacoma,94952.0
Senior Content Developer,Redmond,Microsoft,102500.0
Software Engineering Manager,Redmond,Microsoft,126500.0
Sr Product Manager - Vehicle Solutions,Seattle,Uber,146500.0
"Mid- Level,Systems Engineer Support Analyst",Everett,BOEING,88000.0
Post-Doctoral Research Fellow,Seattle,Fred Hutchinson Cancer Research Center,55500.0
"Specialist Director, Machine Learning, Data Scientist",Seattle,KPMG,137000.0
"Assistant Division Director - Community Toxics, Science, and...",Seattle,King County,124097.0
"Software Engineer, Site Frontend",Seattle,zulily,121000.0
Sr Product Manager - Vehicle Growth,Seattle,Uber,146500.0
Senior Product Manager,Seattle,Whitepages,127500.0
Software Developer 3,Bellevue,Oracle,121500.0
Postdoctoral Fellow,Seattle,Institute for Systems Biology,52000.0
FRL Tracking Software Engineer,Redmond,Facebook,109000.0
Financial Analyst (Office of the Executive Dean for Research...,Miami,University of Miami,49500.0
"Research Budget & Contract Analyst, Miami Cancer Institute,...",Miami,Miami Cancer Institute at Baptist Health,59500.0
"Director, Machine Learning Data Scientist",Miami,KPMG,120000.0
MARKET RESEARCH ANALYST,Miami Beach,IMW Internet Marketing WorldWide,37086.0
Front End Software Developer for GIS/Risk Assessment Modelin...,Plantation,"Coastal Risk Consulting, LLC",64500.0
Data Scientist - Splunk,Houston,Capgemini,112500.0
Data Scientist,Houston,CGG,114000.0
Data Scientist - Houston,Houston,"HFF, L.P.",155000.0
Data Scientist (EG),Houston,Pros.,115000.0
Healthcare Data Science Consultant,Houston,Accenture,144500.0
Research Associate,Houston,Baylor College of Medicine,60000.0
RESEARCH SCIENTIST - DR. KAPIL N. BHALLA'S LABORATORY,Houston,MD Anderson Cancer Center,66500.0
INSTITUTE ASSOCIATE SCIENTIST I - IN-VITRO PHARMACOLOGY,Houston,MD Anderson Cancer Center,38000.0
"Medical Lab Scientist, Lab Services - Victory Lakes Patholog...",League City,UTMB,67000.0
