title,location,company,salary
"VP, Data Scientist",Chicago,Synchrony,127500.0
Data Scientist,Chicago,Charles Schwab,94000.0
Campus: Data Scientist (Summer 2019 Start),Chicago,Optiver US,85000.0
Master Data Scientist,Chicago,Deloitte,89000.0
Eicoff - Data Scientist,Chicago,Ogilvy,120500.0
Data Scientist - Decision Sciences Personal Valuation team,Chicago,Epsilon,121000.0
International Data Scientist,Chicago,TransUnion,108000.0
Data Scientist II,Chicago,Trunk Club,121000.0
Insurance Data Scientist,Chicago,TransUnion,109000.0
Data Scientist,Lombard,eQHealth Solutions,105000.0
Data Scientist,Chicago,Fetch Rewards,105500.0
Data Scientist,Chicago,Winsight LLC,106500.0
Data Scientist,Chicago,Mattersight,111500.0
Data Scientist Consultant - Midwest region,Chicago,Avanade,124000.0
Data Science Consultant,Chicago,Life Work Search,122500.0
"Cardinal Path | Intermediate Consultant, Data Science",Chicago,Dentsu Aegis Network,90000.0
Data Scientist - Decision Sciences Personal Valuation team,Chicago,AllianceData,121000.0
Head of Data Science,Chicago,Numerator,161000.0
Clinical Data Analyst- Quantitative Data Science,Oakbrook Terrace,The Joint Commission,104000.0
Software Engineer II - Data Engineering Team,Chicago,Civis Analytics,116000.0
Data Scientist,Chicago,"KAR Auction Services, Inc.",107500.0
"Manager, Data Scientist, Machine Learning",Chicago,KPMG,118500.0
"Senior Manager, Data Science - Zoro",Chicago,Grainger,124000.0
Data Science Lead,Chicago,Civis Analytics,130000.0
Postdoctoral Researcher,Lemont,Argonne National Laboratory,50000.0
Manager Grid Intelligence & Data Science (Exelon Utilities),Oak Brook,Exelon,162000.0
Data Scientist - Senior Consultant,Chicago,Clarity Insights,121500.0
Arity-Senior Data Analytics Engineer - Data Warehousing,Chicago,Allstate,110000.0
Solution Delivery Analyst - Healthcare Systems and Services...,Chicago,McKinsey & Company,135000.0
Postdoctoral Researcher in Quantitative Ecology and Modeling...,Lisle,The Morton Arboretum,40000.0
Business Intelligence Developer,Downers Grove,Dupage Medical Group,75500.0
Software Engineer,Chicago,HERE Technologies,114000.0
Electrical & Controls Engineer / Food & Consumer Products,Chicago,Burns & McDonnell,97500.0
"Director, AI Software Engineering",Chicago,The University of Chicago,106500.0
Senior Managing Actuary,Chicago,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",124000.0
Mechanical/HVAC Engineer,Lemont,Argonne National Laboratory,82000.0
Post Doctoral Research Fellow - NGS & Molecular Genomics,Chicago,Rush University Medical Center,52500.0
Municipal Water - Electrical Engineer,Chicago,Burns & McDonnell,102000.0
Principal Cloud Data Engineer/Architect,Chicago,Discover Financial Services,148000.0
"Sr. Staff Software Engineer, Backend (Multiple levels)",Chicago,The Climate Corporation,138000.0
Staff Civil Engineer,Chicago,Burns & McDonnell,83500.0
"Physical Therapist - Arms + Hands Core, Full-time",Chicago,Shirley Ryan Ability Lab,68000.0
PORTFOLIO RESEARCH ANALYST,Chicago,The HOUSEpital,125000.0
Data Scientist,Chicago,Home Partners of America Inc,104000.0
Research Coordinator,Chicago,Slover Linett,45500.0
Data Engineer/Scientist,Chicago,10th Magnitude,118000.0
Natural Language Processing Data Scientist,Chicago,Tempus,122000.0
"Data Scientist, Applied Machine Learning - RNA",Chicago,Tempus,120000.0
Head of Data Science,Chicago,Farmer's Fridge,117500.0
Front End Developer Angular,Chicago,Arturo,95000.0
Sales Research Analyst,Chicago,"Harris & Harris, Ltd.",40000.0
Software Engineer,Chicago,Tempus,114500.0
"Senior Product Manager, Data Platform",Chicago,ShopRunner,126000.0
"Postdoctoral Research Scientist, Vertebrate Paleontology",Chicago,The Field Museum,55000.0
Solutions Architect - Application Transformation,Chicago,Pivotal Software,163500.0
Tech Lead | Engineering Manager,Chicago,Civis Analytics,129000.0
Software Engineer - Platform Team,Chicago,Fooda,129500.0
Senior Software Engineer - Platform Team,Chicago,Fooda,123500.0
