title,location,company,salary
Data Review Scientist,Philadelphia,Eurofins Lancaster Laboratories Professional Scien...,106000.0
"Senior Analyst, Data Science",Spring House,Johnson & Johnson Family of Companies,101500.0
Data Science Engineer,Philadelphia,Comcast,126000.0
DATA SCIENTIST PRN - Population Intelligence,Camden,Cooper University Hospital,110000.0
Data Scientist II (Advanced Data & Analytics),Mount Laurel,TD Bank,128000.0
"Data Engineer, Analytics & Behavior Science",Philadelphia,Comcast,139500.0
Human Resources Generalist,Wayne,Mobiquity,52000.0
"Senior Scientist, Data Science",Spring House,Johnson & Johnson Family of Companies,119000.0
POSTDOCTORAL FELLOW CAR-T DRUG PRODUCT PROCESS DEVELOPMENT,Malvern,Johnson & Johnson Family of Companies,70000.0
(PA) Science Teacher – 7th-12th Grade - IMMEDIATE OPENING,Philadelphia,Mastery Charter Schools,52000.0
Business Development Specialist (Market Research Analyst),Voorhees,Sricom,60000.0
"Software Engineer, Data Science - ACOE",Plymouth Meeting,IQVIA,126000.0
Healthcare Data Science Manager,Philadelphia,Accenture,149500.0
"Clinical Research Nurse BSN preferred- Cardiovascular, Criti...",Wynnewood,Main Line Health,81000.0
"Senior Software Engineer - Search & Discovery (Java, SOLR, E...",Philadelphia,Elsevier,113500.0
Lab-Sarma - Post-Doctoral Fellow,Philadelphia,The Wistar Institute,45000.0
Data Analysis Lead Specialist,Philadelphia,Chester County Intermediate Unit,37000.0
Senior Data Analyst,Philadelphia,Urban Health Collaborative- Drexel University,85000.0
Research Solutions Analyst,Chesterbrook,The J.G. Wentworth Company,42500.0
Data Scientist,Mount Laurel,Marlin Capital Solutions,126500.0
Data Scientist,Wilmington,4C Health Solutions,106000.0
PA - Engineering - FTE - Data Science Engineer,Philadelphia,"Xyntek, Inc",117500.0
Human Resources Specialist,Philadelphia,AvantGarde,70500.0
Data Engineer Technical Lead,Conshohocken,Jornaya,132500.0
Automated Test Engineer,Philadelphia,Sidecar,110000.0
Lab-Sarma - Post-Doctoral Fellow,Philadelphia,Wistar,47500.0
Senior Software Engineer,Philadelphia,Plum Analytics,113500.0
DevOps Engineer,Philadelphia,Childhood Cancer Data Lab,106500.0
Software Engineer,Philadelphia,IntegriChain,89000.0
Data Scientist - Uber Everything (NYC),New York,Uber,130000.0
Data Scientist,New York,New York University,104000.0
"Data Scientist, Analytics & Insights",New York,Spotify,138500.0
Design & Research Analyst (Data),New York,New York City TAXI & LIMOUSINE COMMISSION,53262.0
Data Scientist,New York,Citi,142500.0
Data Scientist,New York,PepsiCo,132500.0
"Data Scientist, User Behavior",New York,IBM,120000.0
Associate Data Scientist,New York,Viacom,157000.0
Data Scientist,New York,DISH Network,140000.0
"Data Scientist, Marketing Analytics",New York,Spotify,135000.0
Sr. Data Scientist,New York,MetroPlus Health Plan,140000.0
Senior Data Analyst/Modeler,Manhattan,New York City DEPARTMENT OF FINANCE,88504.0
eCommerce Data Science Associate,New York,PepsiCo,127500.0
Data Scientist,New York,Morgan Stanley,174000.0
Master Data Scientist,New York,Deloitte,95500.0
Data Scientist,New York,Dow Jones,127000.0
"Data Scientist, Munich Engine",New York,Munich Re America,164000.0
Data Scientist,New York,Downtown Music Publishing,118500.0
"Data Analyst, PNA",Manhattan,New York City NYC HOUSING AUTHORITY,89349.0
"Data Scientist, Global Premium Services",New York,Google,142500.0
FAIR FARES INTEGRITY DATA ANALYST,Manhattan,New York City HRA/DEPT OF SOCIAL SERVICES,82653.0
Data Scientist,New York,Rauxa,141000.0
Data Scientist,New York,Interactive Brokers,131500.0
"Associate, Data Science",New York,Pfizer Inc.,127500.0
Data Scientist,New York,Reonomy,121000.0
Data Scientist,New York,ZocDoc,132000.0
Data Scientist,New York,AdTheorent,126000.0
Data Scientist,Manhattan,NewYork-Presbyterian Hospital,133500.0
Data Scientist (NYC),New York,"Attorney General, Office of the",116500.0
DATA SCIENTIST,New York,Topps,133500.0
Data Scientist,New York,S&P Global Ratings,135000.0
Data Scientist,New York,FCB Global,112500.0
Data Scientist - Data Engineer,New York,Simon & Schuster,129000.0
Data Scientist,New York,Transfix.io,138000.0
Data Scientist,New York,Dstillery,123000.0
Data Scientist,New York,New York State Office of the Attorney General,113500.0
Data Scientist,Albany,CDPHP,111500.0
Data Scientist I,New York,AIG,127000.0
Data Scientist Artificial Intelligence Consultant New York,New York,Capgemini,136500.0
Data Scientist,New York,Reorg Research,138500.0
Medical Data Scientist,Valhalla,Ascensia Diabetes Care,97500.0
Data Scientist,New York,The CARIAN Group,148500.0
Data Scientist,New York,ViaVan,142000.0
"Data Scientist, Natural Language Processing",New York,Etsy,136000.0
Data Scientist,New York,S&P Global,160000.0
"Data Scientist, Licensing Operations",New York,Spotify,130000.0
Inventive Scientist (Labs - Data Science and AI Research),New York,AT&T,157500.0
Data Scientist – People Analytics - USDC,New York,Deloitte,107500.0
Data Governance Coordinator,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
DIRECTOR OF DATA ANALYTICS AND RESEARCH,Queens,New York City DEPARTMENT OF CORRECTION,98402.5
Data Analyst/Modeler,Manhattan,New York City DEPARTMENT OF FINANCE,86150.5
Assistant Research Scientist,Albany,Health Research Incorporated,45233.0
"Data Analyst, Chronic Disease Prevention and Tobacco",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,82163.0
Demographer,Manhattan,New York City DEPARTMENT OF CITY PLANNING,78803.0
Special Investigator Advisor,New York,New York City BOARD OF CORRECTION,82653.0
Program Analytics / Data Analysis Manager,Bronx,Osborne Association,57500.0
DATA RESEARCH SPECIALIST,Manhattan,New York City HRA/DEPT OF SOCIAL SERVICES,82653.0
Computational Scientist,New York,Research Foundation of The City University of New...,56000.0
Senior Data Analyst,Manhattan,New York City DEPARTMENT OF TRANSPORTATION,73873.5
Data Scientist,New York,Komodo Health,156500.0
Behavioral Data Scientist - Ipsos Behavioral Data Group,New York,Ipsos North America,127500.0
SQL Developer,New York,Capgemini,114500.0
"Data Scientist, Division Management & Systems Coordination",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,82012.5
Data Scientist,Manhattan,VISITING NURSE SERVICE OF NEW YORK,160500.0
"Research Software Engineer, Google Brain",New York,Google,130000.0
Data Scientist II,Buffalo,BlueCross BlueShield of Western New York,121500.0
Customer Experience Analyst (Data Scientist),New York,Glassbox,136500.0
Head of Data Science,New York,Cedar Inc,178500.0
Data Scientist - New York,New York,Capgemini,137500.0
Data Science Team Lead,New York,Grubhub,119500.0
Scientist Electrical Engineering and Data Analytics (Mid-car...,Upton,Brookhaven National Laboratory,106500.0
"Research Scientist 6, Nathan Kline Research Institute – Cent...",Orangeburg,"Mental Health, Office of",34130.0
Data Scientist Senior,Canastota,Northeast Information Discovery,107500.0
"Data Scientist, CHOICE",Manhattan,VISITING NURSE SERVICE OF NEW YORK,163500.0
Data Scientist,New York,CARTO,137500.0
Head of Data Science Controls,New York,Paypal,128500.0
Statistician & Data Analysis Scientist,Painted Post,Corning,127500.0
Data Scientist Principal,New York,ViaVan,147000.0
Senior Laboratory Scientist,Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,82175.0
RESEARCH SCIENTIST,Manhattan,New York City HRA/DEPT OF SOCIAL SERVICES,78803.0
Policy and Data Analyst,Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
"Evaluation Data Analyst, Bureau of Primary Care Information...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,77152.5
Title: Institutional Research Analyst,New York,"Hunter College, CUNY",42619.5
Process Simulation Engineer - Solid Mechanics,New York,Corning,96000.0
"Research Computing Engineer/IT Senior Associate, Level 3 (Pr...",New York,Graduate Center,101217.0
Project Director,New York,New York City BOARD OF CORRECTION,78803.0
"Project Assistant, Bureau of Alcohol and Drug Use Prevention...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Data Science Consultant Fraud Risk,New York,Accenture,123000.0
Machine Learning for Good Postdoctoral Associate,Brooklyn,New York University,72000.0
Evaluation and Quality Improvement Specialist/Bureau of Chil...,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,82653.0
Implementation and Improvement Research Associate,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,80759.0
Child Welfare Analyst,Manhattan,New York City ADMIN FOR CHILDREN'S SVCS,77035.0
POLICY ADVISOR,Manhattan,New York City DEPT OF ENVIRONMENT PROTECTION,85606.5
"Technical Assistance Specialist, Bureau of Alcohol and Drug...",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Cardiovascular Research Analyst,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,91931.0
Data Science Consultant (Resources),New York,Accenture,150500.0
"Scientist, Systems Engineering",Rochester,Harris Corporation,97000.0
Quality Management Specialist,Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Associate Automation Engineer,New York,New York Stem Cell Foundation,89000.0
Data Science Lead,New York,Comcast,128500.0
Senior Data Science Engineer,New York,Loadsmart,158500.0
Permit Manager,Queens,New York City DEPT OF ENVIRONMENT PROTECTION,55435.0
"Senior Product Manager, Measurement and Attribution",New York,Spotify,139500.0
"Quantitative Sciences Manager, Data Science and Machine Lear...",New York,Flatiron Health,125500.0
"Cost Price Analyst, Office of Vendor Research and Price Anal...",Brooklyn,New York City Department of Education .,70370.0
Postdoctoral Associate for SMaPP Lab,New York,New York University,53000.0
Data Engineer CVP- Center of Data Science Team,New York,New York Life Insurance Co,161500.0
Business Intelligence Engineer,New York,WW International (formerly Weight Watchers),120000.0
Statistical Process Engineer,Corning,Corning,81000.0
"Director of Data Analysis, Bureau of Early Intervention",Queens,New York City DEPT OF HEALTH/MENTAL HYGIENE,92304.0
AVP - PVAI - Inhouse SB Data Scientist - CPG - US,New York,Genpact,155500.0
"Quality Management Project Coordinator, Bureau of the Public...",Manhattan,New York City DEPT OF HEALTH/MENTAL HYGIENE,65385.5
Scientist - Electrical Scientist/Engineer,Painted Post,Corning,74500.0
Data Scientist - Insurance,San Francisco,Blue Owl,275000.0
"Data Scientist, Lifecyle",San Francisco,Slack,134000.0
Data Scientist,San Francisco,University of California San Francisco,110000.0
Data Scientist Internship,San Bruno,Walmart eCommerce,121000.0
"Intern, Data Scientist",San Rafael,Autodesk,121000.0
Data Scientist - CA,San Francisco,Bind Benefits,164500.0
"Data Scientist, Seller",San Francisco,Square,155000.0
Data Scientist (Product Analytics),San Francisco,LendingClub,111500.0
Part-time instructor of Statistics for Data Science and Mach...,San Francisco,Kaplan,128000.0
"Data Scientist, Product",San Francisco,Slack,122500.0
Data Scientist,San Francisco,Esurance,127500.0
Data Scientist Internship,San Bruno,Walmart Stores,121000.0
Data Scientist,Richmond,Coherent Germany,131500.0
Product Data Scientist,San Francisco,Twitter,153500.0
Assistant Data Scientist,San Francisco,Gap Inc.,105500.0
Summer 2019 Intern - Data Science,San Francisco,Salesforce,120000.0
Data Scientist,San Bruno,Walmart Stores,115000.0
Data Scientist,San Francisco,Komodo Health,153500.0
Data Scientist,San Francisco,Brightidea,120500.0
Data Scientist,San Francisco,BitTorrent Inc.,139000.0
Data Scientist,Oakland,SoftVision - North America & UK,108000.0
"Data Scientist, Insights",San Francisco,CircleUp,138500.0
Security Data Scientist,San Francisco,Dropbox,151000.0
"Data Scientist, Point of Sale & Customers",San Francisco,Square,137000.0
"Data Scientist, Finance",San Mateo,Snowflake Computing,118500.0
Data Scientist Intern - Summer 2019,San Bruno,Walmart Stores,121500.0
Data Scientist – Intern (Summer 2019),Redwood City,C3,169500.0
"Data Scientist, Recommendation and Ranking",San Francisco,Etsy,136000.0
Data Scientist,Oakland,Softvision,106500.0
PHC Data Scientist - RWD Collaborations,South San Francisco,Genentech,135000.0
"Data Scientist, Cash App",San Francisco,Square,130000.0
Data Scientist,San Francisco,Bolt,130000.0
Data Scientist,San Francisco,Zeus Living,128500.0
"Data Scientist, Product analytics",San Francisco,StubHub,118500.0
Data Scientist | Rider Experience,San Francisco,Uber,145500.0
Data Scientist,San Francisco,RiskIQ,127500.0
Data Scientist,San Francisco,Scoop Technologies,121000.0
"Data Scientist, Words with Friends",San Francisco,Zynga,133000.0
Staff Data Scientist,San Bruno,Walmart Stores,141500.0
Drug Discovery Data Scientist,San Francisco,Frederick National Laboratory,116000.0
PHC Data Scientist Analytics,South San Francisco,Genentech,133000.0
