title,location,company,salary
Data Scientist I,"Seattle, WA 98121 (Belltown area)",Zulily,
"Research Analyst, People Analytics","Seattle, WA",Google,
Data Scientist Intern,"Seattle, WA 98107 (Ballard area)",Tableau,
Data Analytics Intern,"Seattle, WA",Wunderman,
Data Coordinator I-II,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Data Analyst / Jr. Data Scientist,"Seattle, WA 98115 (Wedgwood area)",Logic20/20,
ERP CONTRACT DATA ENTRY OPERATOR (TEMPORARY/HOURLY),"Seattle, WA",University of Washington,$15.70 - $19.83 an hour
"Intern, Research Data Analyst","Tacoma, WA 98402 (Newtacoma area)",City of Tacoma,$12.92 - $16.56 an hour
Data Scientist,"Seattle, WA","Amazon.com Services, Inc.",
Machine Learning Intern,"Seattle, WA 98101 (Downtown area)","PitchBook Data, Inc.",
Junior Systems and Data Analyst,"Bellevue, WA",BOEING,
Data Analytics Intern,"Seattle, WA",Wunderman,
Data Coordinator I-II,"Seattle, WA 98109 (Westlake area)",Fred Hutchinson Cancer Research Center,
Data Scientist,"Bellevue, WA 98004 (Downtown area)",Microsoft,
Data Analyst,"Redmond, WA",Microsoft,
"Data Scientist, WFS","Seattle, WA","Amazon.com Services, Inc.",
Data Scientist- Zillow Offers,"Seattle, WA 98101 (Downtown area)",Zillow Group,
Research Intern – Deep Learning/Natural Language Processing,"Bellevue, WA 98004 (Downtown area)",Microsoft,
Data Science / Machine Learning Engineer,"Renton, WA 98057",Providence Health & Services,
Senior-Data Analysis,"Bothell, WA",AT&T,
Data Scientist,"Seattle, WA 98101 (Downtown area)",Zillow Group,
"Research Intern - Data Management, Exploration and Mining","Redmond, WA",Microsoft,
2019 - Technology Internship (Computer Science & Finance),"Bellevue, WA",T-Mobile,
Data Scientist - Corporate Analytics,"Seattle, WA",Nordstrom,
Entry-Level Methods Process Analyst,"Everett, WA 98204 (Holly area)",BOEING,
Data Scientist- Mortgages,"Seattle, WA 98101 (Downtown area)",Zillow Group,
Data & Applied Scientist,"Bellevue, WA 98004 (Downtown area)",Microsoft,
"Data Scientist, Engineering","Seattle, WA",Google,
Data Scientist,"Redmond, WA",Beyondsoft Consulting,
Sr Data Scientist,"Bellevue, WA",T-Mobile,
"Senior Program Manager, Xbox Live Data Analyst","Redmond, WA",Microsoft,
"Machine Learning Engineer, Zestimates - Intern","Seattle, WA 98101 (Downtown area)",Zillow Group,
Data Scientist - Connections,"Seattle, WA","Amazon.com Services, Inc.",
Technical Research Analyst Intern,"Seattle, WA 98101 (Downtown area)",Intel,
Research Intern - Natural Language Processing,"Bellevue, WA 98004 (Downtown area)",Microsoft,
Machine Learning Intern,"Seattle, WA 98101 (Downtown area)","PitchBook Data, Inc.",
Data Scientist,"Bellevue, WA",T-Mobile,
Research Intern - Database Group,"Redmond, WA",Microsoft,
Data Scientist,"Tacoma, WA 98402 (Newtacoma area)",City of Tacoma,"$105,747 - $135,637 a year"
Data Scientist,"Seattle, WA 98107 (Ballard area)",Tableau,
Data Admin Coordinator,"Renton, WA",BOEING,
ERP CONTRACT DATA ENTRY OPERATOR (TEMPORARY/HOURLY),"Seattle, WA",University of Washington,$15.70 - $19.83 an hour
Data Scientist,"Redmond, WA",Coso IT,"$93,000 - $137,000 a year (Indeed est.)"
